id,full_name,email,employee_id,hire_date,department_id,position_id,status
1,Сотрудник 1,user1@example.com,ID0001,2023-01-15,2,2,active
2,Сотрудник 2,user2@example.com,ID0002,2024-03-10,3,3,active
3,Сотрудник 3,user3@example.com,ID0003,2023-01-15,4,4,active
4,Сотрудник 4,user4@example.com,ID0004,2024-03-10,5,5,active
5,Сотрудник 5,user5@example.com,ID0005,2023-01-15,1,6,active
6,Сотрудник 6,user6@example.com,ID0006,2024-03-10,2,7,active
7,Сотрудник 7,user7@example.com,ID0007,2023-01-15,3,1,active
8,Сотрудник 8,user8@example.com,ID0008,2024-03-10,4,2,active
9,Сотрудник 9,user9@example.com,ID0009,2023-01-15,5,3,active
10,Сотрудник 10,user10@example.com,ID0010,2024-03-10,1,4,active
11,Сотрудник 11,user11@example.com,ID0011,2023-01-15,2,5,active
12,Сотрудник 12,user12@example.com,ID0012,2024-03-10,3,6,active
13,Сотрудник 13,user13@example.com,ID0013,2023-01-15,4,7,active
14,Сотрудник 14,user14@example.com,ID0014,2024-03-10,5,1,active
15,Сотрудник 15,user15@example.com,ID0015,2023-01-15,1,2,active
16,Сотрудник 16,user16@example.com,ID0016,2024-03-10,2,3,active
17,Сотрудник 17,user17@example.com,ID0017,2023-01-15,3,4,active
18,Сотрудник 18,user18@example.com,ID0018,2024-03-10,4,5,active
19,Сотрудник 19,user19@example.com,ID0019,2023-01-15,5,6,active
20,Сотрудник 20,user20@example.com,ID0020,2024-03-10,1,7,active
21,Сотрудник 21,user21@example.com,ID0021,2023-01-15,2,1,active
22,Сотрудник 22,user22@example.com,ID0022,2024-03-10,3,2,active
23,Сотрудник 23,user23@example.com,ID0023,2023-01-15,4,3,active
24,Сотрудник 24,user24@example.com,ID0024,2024-03-10,5,4,active
25,Сотрудник 25,user25@example.com,ID0025,2023-01-15,1,5,active
26,Сотрудник 26,user26@example.com,ID0026,2024-03-10,2,6,active
27,Сотрудник 27,user27@example.com,ID0027,2023-01-15,3,7,active
28,Сотрудник 28,user28@example.com,ID0028,2024-03-10,4,1,active
29,Сотрудник 29,user29@example.com,ID0029,2023-01-15,5,2,active
30,Сотрудник 30,user30@example.com,ID0030,2024-03-10,1,3,active
31,Сотрудник 31,user31@example.com,ID0031,2023-01-15,2,4,active
32,Сотрудник 32,user32@example.com,ID0032,2024-03-10,3,5,active
33,Сотрудник 33,user33@example.com,ID0033,2023-01-15,4,6,active
34,Сотрудник 34,user34@example.com,ID0034,2024-03-10,5,7,active
