full_name,email,employee_id,hire_date,department,position
Иванов Иван Иванович,ivanov@example.com,ID0001,2023-01-15,IT,Developer
Петров Петр Петрович,petrov@example.com,ID0002,2023-02-20,HR,HR Manager
Сидоров Сидор Сидорович,sidorov@example.com,ID0003,2023-03-10,Finance,Accountant
Козлов Алексей Владимирович,kozlov@example.com,ID0004,2023-04-05,IT,Senior Developer
Морозова Анна Сергеевна,morozova@example.com,ID0005,2023-05-12,Marketing,Marketing Specialist
Новиков Дмитрий Александрович,novikov@example.com,ID0006,2023-06-18,Sales,Sales Manager
Кузнецова Елена Петровна,kuznetsova@example.com,ID0007,2023-07-22,HR,Recruiter
Васильев Михаил Игоревич,vasiliev@example.com,ID0008,2023-08-30,Finance,Financial Analyst
Попова Ольга Дмитриевна,popova@example.com,ID0009,2023-09-15,IT,QA Engineer
Лебедев Артем Викторович,lebedev@example.com,ID0010,2023-10-20,Operations,Operations Manager
